cm1;Camisetas seda fría;25000
ch1;Camisetas seda fría;25000
jm1;Jeans Dama;50000
jmc;Jeans Camuflados;65000
jh;Jeans Hombre;50000
sd;Short Dama;
fd;Faldas Dama;
bh;Bermudas Hombre;
csb7;Conjunto Falda Short Chaleco Manga Globo;60000
csb8;Conjunto Falda Short Chaleco Manga Siza;60000
bb01;Braga camuflada sin camiseta/con camiseta;50000/55000
csb1;Conjunto Falda Short Chaqueta Manga corta;65000
cfb1;Falda camuflada y top;50000
csb6;Conjunto short camuflado y chaleco siza;55000
bb02;Enterizo short;50000
cpb5;Conjunto pantalon y chaleco v1;65000
cpb4;Conjunto pantalon y chaleco v2;65000
cpb3;Conjunto pantalon y chaleco v3;65000
cpb2;Conjunto pantalon y chaleco v4;55000
cpb1;Conjunto pantalon y chaleco v5;55000
csb3;Conjunto chaleco top y short;65000
cfl3;Conjunto falda y top;55000
vgb1;Vestido globo;55000
fgb1;Falda globo y top;50000
cp02;Pantalon y blusa;50000
vlmc1;Vestido RIB Cremallera;50000
cmb;Conjunto RIB Manga Bolero;50000
v4t;Conjunto RIB Manga Siza;50000
vms1;Conjunto RIB cuatro tiras;50000
cp01;Conjunto pantalon y blusa;55000
pcb1;Pantalon camuflado con top / sin top;70000/65000
ct1;crop-top ;35000
bd1;Blusas Dama Talla única;40000
bdg1;Blusas Dama Talla XL / XXL ;50000
ced1;Camicera talla única unicolor / estampada;40000/ 45000
bld1;Bluzon M y XL Unicolor / Estampado;45000/50000
ch2;Camisetas tela fría bordadas;35000
chmc;Camisas manga corta ;40000
chml;Camisas manga larga ;45000
che1;Camisetas Estampadas;35000
chd1;Camisetas hombre Autos ;40000
cjh1;Conjunto Hombre;60000
cjhp1;Conjunto Hombre Polo;70000
cjdc1;Conjunto Dama Corto;50000
cjdl1;Conjunto Dama Largo;55000
bdc1;Buzo Dama Capotero;50000
bdcr1;Buzo Dama Corto;45000
ct2;Crop Top Dama ;30000
cjhg1;Conjunto hombre en tela galleta ;65000
ccp1;Camiseta caballero peluche;40000
bzd1;Buzos Dama ;50000
bzh1;Buzos Caballero ;55000
coh1;Camiseta Oversize ;45000
ch3;Camisetas hombre seda fría;40000
mcb;Pijama manga corta botones;50000
pp;Pijama plus;50000
pd;Pijama de dama;45000
pc;Pijama de caballero;45000
psn;Pijama short de niña;37000
spdn;Short piel de durazno niño;37000
pnmc;Pijama de niño manga corta;40000
sr;Short RIB;40000
lt;Levantadoras térmicas;45000
mlpd;Manga larga piel de durazno;50000
pas;Pijama aurora short;45000
pdt;Pesquero de tiras;42000
pmc;Pesquero manga corta;43000
smc;Short manga corta;40000
pplml;Pijama pantalon largo con manga larga;52000
ppt;Pijama pantalon con tiras;42000
psun;Pijama sublimada de niño;40000
nsml;Niña sublimada manga larga;40000
pmc;Pijama Mary;45000
sct;Short crop top;37000
pst;Pijama short y top;35000
p3p;Pijama 3 piezas;52000
sbb;Short Blusa Bolero;40000
st;Short tiras;40000
pimc;Pijama manga corta;45000
bm;Bata Mary;40000
pt;Pijama Termica;45000
pr;Pijama rondalla;50000
pf;Pijama familiar;45000
emc;Enterizo manga corta;40000
eml;Enterizo manga larga;45000
nfc;North Face Combinada;70000
nfcqc;North Face Clasica Quita Capota;65000
td;Torero Dama;65000
bzh2;Buzos Estampados Caballero ;60000
ch4;Camisetas hombre ;38000
cho;Camisetas hombre oversize;45000
cno;Camisetas niño oso;38000
ccp2;Camisetas oso adulto;45000
cm2;Camisetas seda fria dama ;35000
baph;Buzos Algodon Perchado ;50000
bapn1;Buzos algodon perchado niño;40000
cod1;Camisetas Oversize dama ;40000
bno1;Buzos oso niño;40000
cho3d;Oversize cuello 3D;45000
chcb;Camisetas cuello bordado ;40000
cht;Camiseta hombre texturizada;40000
buh;Buzo Unicolor Tela Burda;50000
brh;Buzo en rip;50000
pf1h;Polo seda fría F1;45000
pmlh;Polo manga larga tela galleta;45000
cjhg2;Conjunto hombre en tela galleta ;100000
cjht1;Conjunto hombre texturizado;65000
cht1;Camiseta algodon texturizada;45000
pth;Polo texturizada;45000
cjtn;Conjunto texturizado niño;45000
jh2;Jean Levis Hombre ;55000
chctd;Chaqueta corta termica dama ;60000
chltd;Chaqueta larga termica dama ;75000
chctd1;Chaqueta corta termica dama op2;75000
chtd;Chaqueta termica capota y orejas ;40000
chth;Chaqueta termica caballero ;70000
bd2;Blusas Dama ;38000
bod;Body Dama ;40000
cjhd;Conjunto Hilton;50000
vsd;Vestido Suizo Dama ;60000
bzd2;Buzos dama ;45000
ch5;Camisa caballero;50000
bo1;Buzos alto relieve;45000
bld2;Blusas Dama Premium;35000
